"Coregulation","Niches","Handling_time","Resource_quality","Byproduction","BEF_shape"
"Absent","Generalists","Decrease","Flat","None","-"
"Absent","Generalists","Decrease","Flat","Nested","-"
"Absent","Generalists","Decrease","Flat","Serial","-"
"Absent","Generalists","Decrease","Increase","None","-"
"Absent","Generalists","Decrease","Increase","Nested","-"
"Absent","Generalists","Decrease","Increase","Serial","-"
"Absent","Generalists","Flat","Flat","None","0"
"Absent","Generalists","Flat","Flat","Nested","0"
"Absent","Generalists","Flat","Flat","Serial","0"
"Absent","Generalists","Flat","Increase","None","0"
"Absent","Generalists","Flat","Increase","Nested","0"
"Absent","Generalists","Flat","Increase","Serial","0"
"Absent","Generalists","Increase","Flat","None","+-"
"Absent","Generalists","Increase","Flat","Nested","+-"
"Absent","Generalists","Increase","Flat","Serial","+-"
"Absent","Generalists","Increase","Increase","None","+"
"Absent","Generalists","Increase","Increase","Nested","+"
"Absent","Generalists","Increase","Increase","Serial","+"
"Neutral","Generalists","Decrease","Flat","None","-"
"Neutral","Generalists","Decrease","Flat","Nested","-"
"Neutral","Generalists","Decrease","Flat","Serial","-"
"Neutral","Generalists","Decrease","Increase","None","-"
"Neutral","Generalists","Decrease","Increase","Nested","-"
"Neutral","Generalists","Decrease","Increase","Serial","-"
"Neutral","Generalists","Flat","Flat","None","0"
"Neutral","Generalists","Flat","Flat","Nested","0"
"Neutral","Generalists","Flat","Flat","Serial","0"
"Neutral","Generalists","Flat","Increase","None","0"
"Neutral","Generalists","Flat","Increase","Nested","0"
"Neutral","Generalists","Flat","Increase","Serial","0"
"Neutral","Generalists","Increase","Flat","None","+-"
"Neutral","Generalists","Increase","Flat","Nested","+-"
"Neutral","Generalists","Increase","Flat","Serial","+-"
"Neutral","Generalists","Increase","Increase","None","+-"
"Neutral","Generalists","Increase","Increase","Nested","+-"
"Neutral","Generalists","Increase","Increase","Serial","+-"
"Intraspecific","Generalists","Decrease","Flat","None","-"
"Intraspecific","Generalists","Decrease","Flat","Nested","-"
"Intraspecific","Generalists","Decrease","Flat","Serial","-"
"Intraspecific","Generalists","Decrease","Increase","None","-"
"Intraspecific","Generalists","Decrease","Increase","Nested","-"
"Intraspecific","Generalists","Decrease","Increase","Serial","-"
"Intraspecific","Generalists","Flat","Flat","None","+-"
"Intraspecific","Generalists","Flat","Flat","Nested","+-"
"Intraspecific","Generalists","Flat","Flat","Serial","+-"
"Intraspecific","Generalists","Flat","Increase","None","+-"
"Intraspecific","Generalists","Flat","Increase","Nested","+-"
"Intraspecific","Generalists","Flat","Increase","Serial","+-"
"Intraspecific","Generalists","Increase","Flat","None","+"
"Intraspecific","Generalists","Increase","Flat","Nested","+"
"Intraspecific","Generalists","Increase","Flat","Serial","+"
"Intraspecific","Generalists","Increase","Increase","None","+"
"Intraspecific","Generalists","Increase","Increase","Nested","+"
"Intraspecific","Generalists","Increase","Increase","Serial","+"
"Interspecific","Generalists","Decrease","Flat","None","-"
"Interspecific","Generalists","Decrease","Flat","Nested","-"
"Interspecific","Generalists","Decrease","Flat","Serial","-"
"Interspecific","Generalists","Decrease","Increase","None","-"
"Interspecific","Generalists","Decrease","Increase","Nested","-"
"Interspecific","Generalists","Decrease","Increase","Serial","-"
"Interspecific","Generalists","Flat","Flat","None","-"
"Interspecific","Generalists","Flat","Flat","Nested","-"
"Interspecific","Generalists","Flat","Flat","Serial","-"
"Interspecific","Generalists","Flat","Increase","None","-"
"Interspecific","Generalists","Flat","Increase","Nested","-"
"Interspecific","Generalists","Flat","Increase","Serial","-"
"Interspecific","Generalists","Increase","Flat","None","+-"
"Interspecific","Generalists","Increase","Flat","Nested","0"
"Interspecific","Generalists","Increase","Flat","Serial","0"
"Interspecific","Generalists","Increase","Increase","None","+-"
"Interspecific","Generalists","Increase","Increase","Nested","+-"
"Interspecific","Generalists","Increase","Increase","Serial","+-"
"Absent","Specialists","Decrease","Flat","None","+"
"Absent","Specialists","Decrease","Flat","Nested","+"
"Absent","Specialists","Decrease","Flat","Serial","+"
"Absent","Specialists","Decrease","Increase","None","+"
"Absent","Specialists","Decrease","Increase","Nested","+"
"Absent","Specialists","Decrease","Increase","Serial","+"
"Absent","Specialists","Flat","Flat","None","+"
"Absent","Specialists","Flat","Flat","Nested","+"
"Absent","Specialists","Flat","Flat","Serial","+"
"Absent","Specialists","Flat","Increase","None","+"
"Absent","Specialists","Flat","Increase","Nested","+"
"Absent","Specialists","Flat","Increase","Serial","+"
"Absent","Specialists","Increase","Flat","None","+"
"Absent","Specialists","Increase","Flat","Nested","+"
"Absent","Specialists","Increase","Flat","Serial","+"
"Absent","Specialists","Increase","Increase","None","+"
"Absent","Specialists","Increase","Increase","Nested","+"
"Absent","Specialists","Increase","Increase","Serial","+"
"Neutral","Specialists","Decrease","Flat","None","+"
"Neutral","Specialists","Decrease","Flat","Nested","+"
"Neutral","Specialists","Decrease","Flat","Serial","+"
"Neutral","Specialists","Decrease","Increase","None","+-"
"Neutral","Specialists","Decrease","Increase","Nested","+-"
"Neutral","Specialists","Decrease","Increase","Serial","+"
"Neutral","Specialists","Flat","Flat","None","+"
"Neutral","Specialists","Flat","Flat","Nested","+"
"Neutral","Specialists","Flat","Flat","Serial","+"
"Neutral","Specialists","Flat","Increase","None","+-"
"Neutral","Specialists","Flat","Increase","Nested","+-"
"Neutral","Specialists","Flat","Increase","Serial","+"
"Neutral","Specialists","Increase","Flat","None","+"
"Neutral","Specialists","Increase","Flat","Nested","+"
"Neutral","Specialists","Increase","Flat","Serial","+"
"Neutral","Specialists","Increase","Increase","None","+-"
"Neutral","Specialists","Increase","Increase","Nested","+-"
"Neutral","Specialists","Increase","Increase","Serial","+-"
"Intraspecific","Specialists","Decrease","Flat","None","+"
"Intraspecific","Specialists","Decrease","Flat","Nested","+"
"Intraspecific","Specialists","Decrease","Flat","Serial","+"
"Intraspecific","Specialists","Decrease","Increase","None","+"
"Intraspecific","Specialists","Decrease","Increase","Nested","+-"
"Intraspecific","Specialists","Decrease","Increase","Serial","+"
"Intraspecific","Specialists","Flat","Flat","None","+"
"Intraspecific","Specialists","Flat","Flat","Nested","+"
"Intraspecific","Specialists","Flat","Flat","Serial","+"
"Intraspecific","Specialists","Flat","Increase","None","+-"
"Intraspecific","Specialists","Flat","Increase","Nested","+-"
"Intraspecific","Specialists","Flat","Increase","Serial","+"
"Intraspecific","Specialists","Increase","Flat","None","+"
"Intraspecific","Specialists","Increase","Flat","Nested","+"
"Intraspecific","Specialists","Increase","Flat","Serial","+"
"Intraspecific","Specialists","Increase","Increase","None","+-"
"Intraspecific","Specialists","Increase","Increase","Nested","+-"
"Intraspecific","Specialists","Increase","Increase","Serial","+-"
"Interspecific","Specialists","Decrease","Flat","None","+"
"Interspecific","Specialists","Decrease","Flat","Nested","+"
"Interspecific","Specialists","Decrease","Flat","Serial","+"
"Interspecific","Specialists","Decrease","Increase","None","+-"
"Interspecific","Specialists","Decrease","Increase","Nested","+-"
"Interspecific","Specialists","Decrease","Increase","Serial","+"
"Interspecific","Specialists","Flat","Flat","None","+"
"Interspecific","Specialists","Flat","Flat","Nested","+"
"Interspecific","Specialists","Flat","Flat","Serial","+"
"Interspecific","Specialists","Flat","Increase","None","+-"
"Interspecific","Specialists","Flat","Increase","Nested","+-"
"Interspecific","Specialists","Flat","Increase","Serial","+"
"Interspecific","Specialists","Increase","Flat","None","+"
"Interspecific","Specialists","Increase","Flat","Nested","+"
"Interspecific","Specialists","Increase","Flat","Serial","+"
"Interspecific","Specialists","Increase","Increase","None","+-"
"Interspecific","Specialists","Increase","Increase","Nested","+-"
"Interspecific","Specialists","Increase","Increase","Serial","+-"
"Absent","Gradient","Decrease","Flat","None","+"
"Absent","Gradient","Decrease","Flat","Nested","+"
"Absent","Gradient","Decrease","Flat","Serial","+"
"Absent","Gradient","Decrease","Increase","None","0"
"Absent","Gradient","Decrease","Increase","Nested","0"
"Absent","Gradient","Decrease","Increase","Serial","0"
"Absent","Gradient","Flat","Flat","None","+"
"Absent","Gradient","Flat","Flat","Nested","+"
"Absent","Gradient","Flat","Flat","Serial","+"
"Absent","Gradient","Flat","Increase","None","+"
"Absent","Gradient","Flat","Increase","Nested","+"
"Absent","Gradient","Flat","Increase","Serial","+"
"Absent","Gradient","Increase","Flat","None","+"
"Absent","Gradient","Increase","Flat","Nested","+"
"Absent","Gradient","Increase","Flat","Serial","+"
"Absent","Gradient","Increase","Increase","None","+"
"Absent","Gradient","Increase","Increase","Nested","+"
"Absent","Gradient","Increase","Increase","Serial","+"
"Neutral","Gradient","Decrease","Flat","None","0"
"Neutral","Gradient","Decrease","Flat","Nested","0"
"Neutral","Gradient","Decrease","Flat","Serial","0"
"Neutral","Gradient","Decrease","Increase","None","-"
"Neutral","Gradient","Decrease","Increase","Nested","-"
"Neutral","Gradient","Decrease","Increase","Serial","-"
"Neutral","Gradient","Flat","Flat","None","+"
"Neutral","Gradient","Flat","Flat","Nested","+"
"Neutral","Gradient","Flat","Flat","Serial","+"
"Neutral","Gradient","Flat","Increase","None","+-"
"Neutral","Gradient","Flat","Increase","Nested","+"
"Neutral","Gradient","Flat","Increase","Serial","+-"
"Neutral","Gradient","Increase","Flat","None","+"
"Neutral","Gradient","Increase","Flat","Nested","+"
"Neutral","Gradient","Increase","Flat","Serial","+"
"Neutral","Gradient","Increase","Increase","None","+"
"Neutral","Gradient","Increase","Increase","Nested","+"
