"","sampling","resource_supply","ammonia","density_dependence","production","recalcitrance","handling_time","generalism","uptake_factor","efficiency","sign"
"1","random","uniform","decrease","inter","off",TRUE,"decrease","random",1,"flat","-"
"2","random","uniform","decrease","inter","off",TRUE,"decrease","random",1,"increase","-"
"3","random","uniform","decrease","inter","off",TRUE,"decrease","specialists",1,"flat","+"
"4","random","uniform","decrease","inter","off",TRUE,"decrease","specialists",1,"increase","+-"
"5","random","uniform","decrease","inter","off",TRUE,"decrease","tradeoff",1,"flat","-"
"6","random","uniform","decrease","inter","off",TRUE,"decrease","tradeoff",1,"increase","-"
"7","random","uniform","decrease","inter","off",TRUE,"flat","random",1,"flat","-"
"8","random","uniform","decrease","inter","off",TRUE,"flat","random",1,"increase","-"
"9","random","uniform","decrease","inter","off",TRUE,"flat","specialists",1,"flat","+"
"10","random","uniform","decrease","inter","off",TRUE,"flat","specialists",1,"increase","+-"
"11","random","uniform","decrease","inter","off",TRUE,"flat","tradeoff",1,"flat","+-"
"12","random","uniform","decrease","inter","off",TRUE,"flat","tradeoff",1,"increase","-"
"13","random","uniform","decrease","inter","off",TRUE,"increase","random",1,"flat","-"
"14","random","uniform","decrease","inter","off",TRUE,"increase","random",1,"increase","-"
"15","random","uniform","decrease","inter","off",TRUE,"increase","specialists",1,"flat","+"
"16","random","uniform","decrease","inter","off",TRUE,"increase","specialists",1,"increase","+-"
"17","random","uniform","decrease","inter","off",TRUE,"increase","tradeoff",1,"flat","+-"
"18","random","uniform","decrease","inter","off",TRUE,"increase","tradeoff",1,"increase","+-"
"19","random","uniform","decrease","inter","parallel",TRUE,"decrease","random",1,"flat","-"
"20","random","uniform","decrease","inter","parallel",TRUE,"decrease","random",1,"increase","-"
"21","random","uniform","decrease","inter","parallel",TRUE,"decrease","specialists",1,"flat","+"
"22","random","uniform","decrease","inter","parallel",TRUE,"decrease","specialists",1,"increase","+-"
"23","random","uniform","decrease","inter","parallel",TRUE,"decrease","tradeoff",1,"flat","-"
"24","random","uniform","decrease","inter","parallel",TRUE,"decrease","tradeoff",1,"increase","-"
"25","random","uniform","decrease","inter","parallel",TRUE,"flat","random",1,"flat","-"
"26","random","uniform","decrease","inter","parallel",TRUE,"flat","random",1,"increase","-"
"27","random","uniform","decrease","inter","parallel",TRUE,"flat","specialists",1,"flat","+"
"28","random","uniform","decrease","inter","parallel",TRUE,"flat","specialists",1,"increase","+-"
"29","random","uniform","decrease","inter","parallel",TRUE,"flat","tradeoff",1,"flat","+-"
